nm, %R
1650.000000, 93.601204
1646.000000, 93.991013
1642.000000, 94.270669
1638.000000, 94.582010
1634.000000, 94.760421
1630.000000, 95.026613
1626.000000, 95.311115
1622.000000, 95.614826
1618.000000, 95.929752
1614.000000, 96.240603
1610.000000, 96.534913
1606.000000, 96.751868
1602.000000, 96.935670
1598.000000, 97.121484
1594.000000, 97.181917
1590.000000, 97.207913
1586.000000, 97.303360
1582.000000, 97.358674
1578.000000, 97.404518
1574.000000, 97.480135
1570.000000, 97.506171
1566.000000, 97.557909
1562.000000, 97.589937
1558.000000, 97.595462
1554.000000, 97.614622
1550.000000, 97.659407
1546.000000, 97.663237
1542.000000, 97.616507
1538.000000, 97.581224
1534.000000, 97.504699
1530.000000, 97.441751
1526.000000, 97.318299
1522.000000, 97.219381
1518.000000, 97.035741
1514.000000, 96.842291
1510.000000, 96.670501
1506.000000, 96.486251
1502.000000, 96.290242
1498.000000, 96.005531
1494.000000, 95.757707
1490.000000, 95.527786
1486.000000, 95.316850
1482.000000, 95.096310
1478.000000, 94.917660
1474.000000, 94.721762
1470.000000, 94.450797
1466.000000, 94.161317
1462.000000, 93.887894
1458.000000, 93.588775
1454.000000, 93.289379
1450.000000, 93.006898
1446.000000, 92.705545
1442.000000, 92.373802
1438.000000, 92.054990
1434.000000, 91.787562
1430.000000, 91.520642
1426.000000, 91.325136
1422.000000, 91.164524
1418.000000, 90.980732
1414.000000, 90.756850
1410.000000, 90.484556
1406.000000, 90.280634
1402.000000, 89.997679
1398.000000, 89.824058
1394.000000, 89.745569
1390.000000, 89.793024
1386.000000, 90.083788
1382.000000, 90.628680
1378.000000, 91.303207
1374.000000, 91.988113
1370.000000, 92.702158
1366.000000, 93.484707
1362.000000, 94.315471
1358.000000, 95.161523
1354.000000, 95.960730
1350.000000, 96.722867
1346.000000, 97.339869
1342.000000, 97.854316
1338.000000, 98.194512
1334.000000, 98.395402
1330.000000, 98.567412
1326.000000, 98.665768
1322.000000, 98.708709
1318.000000, 98.758485
1314.000000, 98.748591
1310.000000, 98.734918
1306.000000, 98.725580
1302.000000, 98.696362
1298.000000, 98.674720
1294.000000, 98.649533
1290.000000, 98.599606
1286.000000, 98.545366
1282.000000, 98.501160
1278.000000, 98.418029
1274.000000, 98.358361
1270.000000, 98.251605
1266.000000, 98.138458
1262.000000, 97.992031
1258.000000, 97.781045
1254.000000, 97.562346
1250.000000, 97.305141
1246.000000, 97.002291
1242.000000, 96.628248
1238.000000, 96.126357
1234.000000, 95.478340
1230.000000, 94.710925
1226.000000, 93.850660
1222.000000, 92.961192
1218.000000, 92.096754
1214.000000, 91.366906
1210.000000, 90.832440
1206.000000, 90.425873
1202.000000, 90.111635
1198.000000, 89.857659
1194.000000, 89.688047
1190.000000, 89.665742
1186.000000, 89.924858
1182.000000, 90.586631
1178.000000, 91.510374
1174.000000, 92.546052
1170.000000, 93.538607
1166.000000, 94.354087
1162.000000, 95.016762
1158.000000, 95.579787
1154.000000, 96.069758
1150.000000, 96.535098
1146.000000, 96.980074
1142.000000, 97.453822
1138.000000, 97.921668
1134.000000, 98.329628
1130.000000, 98.647080
1126.000000, 98.880406
1122.000000, 99.041431
1118.000000, 99.128686
1114.000000, 99.186358
1110.000000, 99.264831
1106.000000, 99.341708
1102.000000, 99.360865
1098.000000, 99.345737
1094.000000, 99.341314
1090.000000, 99.315778
1086.000000, 99.328865
1082.000000, 99.338915
1078.000000, 99.306808
1074.000000, 99.267079
1070.000000, 99.231166
1066.000000, 99.213676
1062.000000, 99.177745
1058.000000, 99.166056
1054.000000, 99.153250
1050.000000, 99.127591
1046.000000, 99.098765
1042.000000, 99.080190
1038.000000, 99.100535
1034.000000, 99.068170
1030.000000, 99.031342
1026.000000, 99.019102
1022.000000, 99.008716
1018.000000, 99.029014
1014.000000, 99.053626
1010.000000, 99.108951
1006.000000, 99.187415
1002.000000, 99.242686
998.000000, 99.238966
994.000000, 99.279991
990.000000, 99.323118
986.000000, 99.355403
982.000000, 99.419724
978.000000, 99.447232
974.000000, 99.470863
970.000000, 99.484507
966.000000, 99.531107
962.000000, 99.514221
958.000000, 99.460257
954.000000, 99.439730
950.000000, 99.371960
