nm, %R
1650.000000, 75.415706
1646.000000, 75.456945
1642.000000, 75.404006
1638.000000, 74.752154
1634.000000, 75.631140
1630.000000, 75.180436
1626.000000, 74.907879
1622.000000, 74.830902
1618.000000, 74.317761
1614.000000, 75.553265
1610.000000, 74.754061
1606.000000, 75.555053
1602.000000, 74.627733
1598.000000, 74.797231
1594.000000, 74.759757
1590.000000, 74.655810
1586.000000, 74.717235
1582.000000, 75.022619
1578.000000, 74.832152
1574.000000, 74.236403
1570.000000, 74.682524
1566.000000, 74.041764
1562.000000, 74.570531
1558.000000, 73.964749
1554.000000, 74.704133
1550.000000, 74.309611
1546.000000, 74.200584
1542.000000, 74.039808
1538.000000, 73.898305
1534.000000, 73.824339
1530.000000, 73.740045
1526.000000, 73.976126
1522.000000, 73.555349
1518.000000, 73.563901
1514.000000, 73.350376
1510.000000, 73.581447
1506.000000, 73.229643
1502.000000, 73.670887
1498.000000, 73.342136
1494.000000, 73.586587
1490.000000, 73.194037
1486.000000, 73.115589
1482.000000, 73.131855
1478.000000, 72.982509
1474.000000, 72.973769
1470.000000, 72.503329
1466.000000, 72.634844
1462.000000, 72.383336
1458.000000, 72.816802
1454.000000, 72.376676
1450.000000, 72.447931
1446.000000, 72.518491
1442.000000, 72.540752
1438.000000, 72.668414
1434.000000, 72.560291
1430.000000, 72.549670
1426.000000, 71.896328
1422.000000, 72.043927
1418.000000, 72.112872
1414.000000, 72.071559
1410.000000, 72.196054
1406.000000, 71.861703
1402.000000, 71.558385
1398.000000, 71.616647
1394.000000, 71.853336
1390.000000, 71.742833
1386.000000, 71.892535
1382.000000, 72.175882
1378.000000, 71.528303
1374.000000, 71.416894
1370.000000, 71.822806
1366.000000, 71.654159
1362.000000, 71.386481
1358.000000, 71.121333
1354.000000, 71.387734
1350.000000, 70.962302
1346.000000, 71.074342
1342.000000, 71.149339
1338.000000, 71.054335
1334.000000, 70.892981
1330.000000, 70.661982
1326.000000, 70.593110
1322.000000, 70.646773
1318.000000, 70.475388
1314.000000, 70.528505
1310.000000, 70.428840
1306.000000, 70.240854
1302.000000, 70.330144
1298.000000, 70.405013
1294.000000, 70.365623
1290.000000, 70.185547
1286.000000, 69.883664
1282.000000, 69.770531
1278.000000, 69.752266
1274.000000, 69.742531
1270.000000, 69.875111
1266.000000, 69.667419
1262.000000, 69.458170
1258.000000, 69.465706
1254.000000, 69.350826
1250.000000, 69.339190
1246.000000, 69.357196
1242.000000, 69.201715
1238.000000, 69.031129
1234.000000, 68.953397
1230.000000, 68.992588
1226.000000, 68.942492
1222.000000, 68.592386
1218.000000, 68.425989
1214.000000, 68.323293
1210.000000, 68.277435
1206.000000, 68.103793
1202.000000, 68.121099
1198.000000, 68.124755
1194.000000, 68.052888
1190.000000, 67.819722
1186.000000, 67.569320
1182.000000, 67.438679
1178.000000, 67.532602
1174.000000, 67.541853
1170.000000, 67.595312
1166.000000, 67.548416
1162.000000, 67.290569
1158.000000, 67.242390
1154.000000, 67.224196
1150.000000, 67.243040
1146.000000, 67.345411
1142.000000, 67.183172
1138.000000, 67.106891
1134.000000, 66.847296
1130.000000, 66.688051
1126.000000, 66.730173
1122.000000, 66.876924
1118.000000, 66.659903
1114.000000, 66.346817
1110.000000, 66.211898
1106.000000, 66.156004
1102.000000, 66.085992
1098.000000, 65.826457
1094.000000, 65.656774
1090.000000, 65.778759
1086.000000, 65.852554
1082.000000, 65.719025
1078.000000, 65.639430
1074.000000, 65.320573
1070.000000, 65.504382
1066.000000, 65.536178
1062.000000, 65.340521
1058.000000, 65.249682
1054.000000, 65.013928
1050.000000, 64.879754
1046.000000, 64.844011
1042.000000, 64.853737
1038.000000, 64.715148
1034.000000, 64.531689
1030.000000, 64.510536
1026.000000, 64.305165
1022.000000, 64.358901
1018.000000, 64.123449
1014.000000, 63.913465
1010.000000, 64.080906
1006.000000, 63.977145
1002.000000, 63.590715
998.000000, 64.052920
994.000000, 63.717715
990.000000, 63.484113
986.000000, 63.555929
982.000000, 63.477398
978.000000, 63.191281
974.000000, 62.909303
970.000000, 62.412016
966.000000, 63.047385
962.000000, 62.843982
958.000000, 62.746717
954.000000, 62.929548
950.000000, 63.092949
