nm, %R
1650.000000, 8.838789
1646.000000, 8.843185
1642.000000, 8.807589
1638.000000, 8.807263
1634.000000, 8.779462
1630.000000, 8.743934
1626.000000, 8.760917
1622.000000, 8.718269
1618.000000, 8.681088
1614.000000, 8.693250
1610.000000, 8.646525
1606.000000, 8.655523
1602.000000, 8.626390
1598.000000, 8.613308
1594.000000, 8.631893
1590.000000, 8.601243
1586.000000, 8.555129
1582.000000, 8.558597
1578.000000, 8.570397
1574.000000, 8.539637
1570.000000, 8.498395
1566.000000, 8.510035
1562.000000, 8.470795
1558.000000, 8.496961
1554.000000, 8.483792
1550.000000, 8.464258
1546.000000, 8.449231
1542.000000, 8.406539
1538.000000, 8.415114
1534.000000, 8.390012
1530.000000, 8.408842
1526.000000, 8.384147
1522.000000, 8.389704
1518.000000, 8.339073
1514.000000, 8.315263
1510.000000, 8.322775
1506.000000, 8.321001
1502.000000, 8.302566
1498.000000, 8.287252
1494.000000, 8.269492
1490.000000, 8.255732
1486.000000, 8.251151
1482.000000, 8.223125
1478.000000, 8.236694
1474.000000, 8.200062
1470.000000, 8.209181
1466.000000, 8.188791
1462.000000, 8.183934
1458.000000, 8.161382
1454.000000, 8.162721
1450.000000, 8.169241
1446.000000, 8.141644
1442.000000, 8.133355
1438.000000, 8.143483
1434.000000, 8.131332
1430.000000, 8.134750
1426.000000, 8.122306
1422.000000, 8.106344
1418.000000, 8.089067
1414.000000, 8.107780
1410.000000, 8.096494
1406.000000, 8.107822
1402.000000, 8.102920
1398.000000, 8.099193
1394.000000, 8.104915
1390.000000, 8.088587
1386.000000, 8.078268
1382.000000, 8.069019
1378.000000, 8.041319
1374.000000, 8.032371
1370.000000, 8.021406
1366.000000, 8.018953
1362.000000, 8.020833
1358.000000, 8.018223
1354.000000, 7.993565
1350.000000, 7.985374
1346.000000, 7.975492
1342.000000, 7.957762
1338.000000, 7.947741
1334.000000, 7.938311
1330.000000, 7.922651
1326.000000, 7.921573
1322.000000, 7.920722
1318.000000, 7.913180
1314.000000, 7.905916
1310.000000, 7.895358
1306.000000, 7.880020
1302.000000, 7.859331
1298.000000, 7.857000
1294.000000, 7.838999
1290.000000, 7.829968
1286.000000, 7.835534
1282.000000, 7.815553
1278.000000, 7.795522
1274.000000, 7.796241
1270.000000, 7.793888
1266.000000, 7.780985
1262.000000, 7.780596
1258.000000, 7.779933
1254.000000, 7.758030
1250.000000, 7.740862
1246.000000, 7.723896
1242.000000, 7.720728
1238.000000, 7.723272
1234.000000, 7.718876
1230.000000, 7.693491
1226.000000, 7.691925
1222.000000, 7.685466
1218.000000, 7.667873
1214.000000, 7.663948
1210.000000, 7.662789
1206.000000, 7.647106
1202.000000, 7.620825
1198.000000, 7.631204
1194.000000, 7.646759
1190.000000, 7.630697
1186.000000, 7.609058
1182.000000, 7.606311
1178.000000, 7.606741
1174.000000, 7.595196
1170.000000, 7.573149
1166.000000, 7.571858
1162.000000, 7.564735
1158.000000, 7.562145
1154.000000, 7.560477
1150.000000, 7.550613
1146.000000, 7.538845
1142.000000, 7.541444
1138.000000, 7.539472
1134.000000, 7.537670
1130.000000, 7.527555
1126.000000, 7.512837
1122.000000, 7.510317
1118.000000, 7.521605
1114.000000, 7.509589
1110.000000, 7.485141
1106.000000, 7.488713
1102.000000, 7.491216
1098.000000, 7.484630
1094.000000, 7.468885
1090.000000, 7.474300
1086.000000, 7.472673
1082.000000, 7.480827
1078.000000, 7.474451
1074.000000, 7.469907
1070.000000, 7.493851
1066.000000, 7.470339
1062.000000, 7.465563
1058.000000, 7.489681
1054.000000, 7.475723
1050.000000, 7.453923
1046.000000, 7.458351
1042.000000, 7.444120
1038.000000, 7.456954
1034.000000, 7.473736
1030.000000, 7.481765
1026.000000, 7.465666
1022.000000, 7.477864
1018.000000, 7.481465
1014.000000, 7.461881
1010.000000, 7.442258
1006.000000, 7.425773
1002.000000, 7.448896
998.000000, 7.483722
994.000000, 7.487129
990.000000, 7.539613
986.000000, 7.542909
982.000000, 7.587267
978.000000, 7.575291
974.000000, 7.547659
970.000000, 7.532064
966.000000, 7.565046
962.000000, 7.583259
958.000000, 7.623068
954.000000, 7.685851
950.000000, 7.680462
