nm, %R
1650.000000, 72.729518
1646.000000, 74.722931
1642.000000, 75.623376
1638.000000, 76.229674
1634.000000, 77.221396
1630.000000, 78.915172
1626.000000, 81.154862
1622.000000, 83.735141
1618.000000, 86.259347
1614.000000, 88.456327
1610.000000, 90.177806
1606.000000, 91.397388
1602.000000, 92.203244
1598.000000, 92.748031
1594.000000, 93.114329
1590.000000, 93.417804
1586.000000, 93.644359
1582.000000, 93.768459
1578.000000, 93.915409
1574.000000, 93.985206
1570.000000, 94.064281
1566.000000, 94.101725
1562.000000, 94.131310
1558.000000, 94.169935
1554.000000, 94.165651
1550.000000, 94.130961
1546.000000, 94.073121
1542.000000, 93.935170
1538.000000, 93.803744
1534.000000, 93.679233
1530.000000, 93.535730
1526.000000, 93.420688
1522.000000, 93.255681
1518.000000, 93.067109
1514.000000, 92.899492
1510.000000, 92.678793
1506.000000, 92.467869
1502.000000, 92.183084
1498.000000, 91.896698
1494.000000, 91.549040
1490.000000, 91.223498
1486.000000, 90.892254
1482.000000, 90.522318
1478.000000, 90.140549
1474.000000, 89.781840
1470.000000, 89.380709
1466.000000, 88.989132
1462.000000, 88.585690
1458.000000, 88.142429
1454.000000, 87.710093
1450.000000, 87.263721
1446.000000, 86.759197
1442.000000, 86.273477
1438.000000, 85.849322
1434.000000, 85.487989
1430.000000, 85.241420
1426.000000, 85.053554
1422.000000, 84.958245
1418.000000, 84.907199
1414.000000, 84.984304
1410.000000, 85.117846
1406.000000, 85.335698
1402.000000, 85.635054
1398.000000, 85.956337
1394.000000, 86.279718
1390.000000, 86.597132
1386.000000, 86.985648
1382.000000, 87.512716
1378.000000, 88.212989
1374.000000, 88.981157
1370.000000, 89.796834
1366.000000, 90.564847
1362.000000, 91.281258
1358.000000, 91.923716
1354.000000, 92.447097
1350.000000, 92.915089
1346.000000, 93.308433
1342.000000, 93.700408
1338.000000, 94.055632
1334.000000, 94.428936
1330.000000, 94.745118
1326.000000, 94.982494
1322.000000, 95.163045
1318.000000, 95.294298
1314.000000, 95.392733
1310.000000, 95.473734
1306.000000, 95.482055
1302.000000, 95.488127
1298.000000, 95.476547
1294.000000, 95.499207
1290.000000, 95.524935
1286.000000, 95.514866
1282.000000, 95.476978
1278.000000, 95.480127
1274.000000, 95.375953
1270.000000, 95.198621
1266.000000, 95.030159
1262.000000, 94.832469
1258.000000, 94.590465
1254.000000, 94.320818
1250.000000, 94.002595
1246.000000, 93.627140
1242.000000, 93.128965
1238.000000, 92.470341
1234.000000, 91.680376
1230.000000, 90.716835
1226.000000, 89.608199
1222.000000, 88.400039
1218.000000, 87.191601
1214.000000, 86.125878
1210.000000, 85.328833
1206.000000, 84.835360
1202.000000, 84.668609
1198.000000, 84.787017
1194.000000, 85.146481
1190.000000, 85.664678
1186.000000, 86.239447
1182.000000, 86.807384
1178.000000, 87.344739
1174.000000, 87.711906
1170.000000, 87.827988
1166.000000, 87.598042
1162.000000, 86.938524
1158.000000, 85.798308
1154.000000, 84.312329
1150.000000, 82.795702
1146.000000, 81.699404
1142.000000, 81.420561
1138.000000, 82.212161
1134.000000, 84.028381
1130.000000, 86.481261
1126.000000, 89.034758
1122.000000, 91.292236
1118.000000, 93.015921
1114.000000, 94.177067
1110.000000, 94.935063
1106.000000, 95.386696
1102.000000, 95.698639
1098.000000, 95.893823
1094.000000, 96.007308
1090.000000, 96.120280
1086.000000, 96.164663
1082.000000, 96.164413
1078.000000, 96.144990
1074.000000, 96.143249
1070.000000, 96.129140
1066.000000, 96.063242
1062.000000, 95.988317
1058.000000, 95.925765
1054.000000, 95.874774
1050.000000, 95.786483
1046.000000, 95.736807
1042.000000, 95.709431
1038.000000, 95.696755
1034.000000, 95.683244
1030.000000, 95.645971
1026.000000, 95.613068
1022.000000, 95.617652
1018.000000, 95.635153
1014.000000, 95.639515
1010.000000, 95.623410
1006.000000, 95.700239
1002.000000, 95.801978
998.000000, 95.843202
994.000000, 95.872750
990.000000, 95.921712
986.000000, 95.915174
982.000000, 95.942735
978.000000, 95.958515
974.000000, 95.944539
970.000000, 95.991620
966.000000, 95.971856
962.000000, 95.987225
958.000000, 95.948344
954.000000, 95.935271
950.000000, 95.923105
