nm, %R
1650.000000, 89.031583
1646.000000, 89.431315
1642.000000, 90.059572
1638.000000, 90.125316
1634.000000, 90.817255
1630.000000, 91.650712
1626.000000, 90.720612
1622.000000, 91.405237
1618.000000, 90.923990
1614.000000, 92.293562
1610.000000, 91.771124
1606.000000, 91.855718
1602.000000, 91.442755
1598.000000, 91.481792
1594.000000, 91.720772
1590.000000, 91.626379
1586.000000, 91.164278
1582.000000, 91.611199
1578.000000, 91.696461
1574.000000, 90.993794
1570.000000, 91.534709
1566.000000, 91.101414
1562.000000, 91.057389
1558.000000, 91.282190
1554.000000, 91.428323
1550.000000, 90.610956
1546.000000, 90.541923
1542.000000, 90.505745
1538.000000, 90.394100
1534.000000, 90.883676
1530.000000, 90.803015
1526.000000, 91.078861
1522.000000, 90.811972
1518.000000, 90.899758
1514.000000, 90.609647
1510.000000, 90.534790
1506.000000, 90.583285
1502.000000, 90.171046
1498.000000, 90.139622
1494.000000, 89.739961
1490.000000, 89.119371
1486.000000, 89.353804
1482.000000, 88.977829
1478.000000, 88.686446
1474.000000, 88.683720
1470.000000, 88.055663
1466.000000, 87.900067
1462.000000, 87.440282
1458.000000, 87.125828
1454.000000, 86.934890
1450.000000, 86.447765
1446.000000, 86.254344
1442.000000, 85.540438
1438.000000, 85.320295
1434.000000, 84.904514
1430.000000, 85.084889
1426.000000, 84.452863
1422.000000, 84.670610
1418.000000, 84.217433
1414.000000, 84.780116
1410.000000, 85.709171
1406.000000, 86.454812
1402.000000, 86.729410
1398.000000, 86.103758
1394.000000, 85.201326
1390.000000, 86.316552
1386.000000, 87.821585
1382.000000, 88.525276
1378.000000, 88.727138
1374.000000, 89.087540
1370.000000, 89.977421
1366.000000, 90.450893
1362.000000, 90.967387
1358.000000, 90.887881
1354.000000, 91.028874
1350.000000, 90.949516
1346.000000, 91.471417
1342.000000, 91.880901
1338.000000, 92.083542
1334.000000, 92.312271
1330.000000, 92.329211
1326.000000, 92.173761
1322.000000, 92.370363
1318.000000, 92.307232
1314.000000, 92.085175
1310.000000, 92.038670
1306.000000, 92.007189
1302.000000, 91.778618
1298.000000, 91.913677
1294.000000, 91.971699
1290.000000, 91.843208
1286.000000, 91.642898
1282.000000, 91.825937
1278.000000, 91.777281
1274.000000, 91.700660
1270.000000, 91.637225
1266.000000, 91.493379
1262.000000, 91.195347
1258.000000, 91.034170
1254.000000, 90.635226
1250.000000, 90.579200
1246.000000, 90.291347
1242.000000, 89.528681
1238.000000, 88.910893
1234.000000, 88.352354
1230.000000, 87.554782
1226.000000, 85.935920
1222.000000, 84.485318
1218.000000, 83.179479
1214.000000, 82.576236
1210.000000, 82.886888
1206.000000, 83.772429
1202.000000, 84.768544
1198.000000, 85.509020
1194.000000, 86.278805
1190.000000, 86.459270
1186.000000, 86.495938
1182.000000, 87.351678
1178.000000, 88.090124
1174.000000, 88.517963
1170.000000, 88.788381
1166.000000, 89.082147
1162.000000, 89.540234
1158.000000, 89.914918
1154.000000, 90.184886
1150.000000, 90.693733
1146.000000, 91.097775
1142.000000, 91.524537
1138.000000, 91.743561
1134.000000, 91.916461
1130.000000, 92.103882
1126.000000, 92.124140
1122.000000, 92.172843
1118.000000, 92.058137
1114.000000, 91.944064
1110.000000, 92.053517
1106.000000, 92.077224
1102.000000, 92.194411
1098.000000, 92.080934
1094.000000, 92.030091
1090.000000, 92.018027
1086.000000, 92.010292
1082.000000, 92.085191
1078.000000, 92.338451
1074.000000, 92.072052
1070.000000, 91.761351
1066.000000, 91.880758
1062.000000, 92.035605
1058.000000, 91.804863
1054.000000, 91.812013
1050.000000, 91.820841
1046.000000, 91.764523
1042.000000, 91.905333
1038.000000, 91.936226
1034.000000, 91.995195
1030.000000, 91.977426
1026.000000, 92.244423
1022.000000, 92.380000
1018.000000, 92.338811
1014.000000, 92.031463
1010.000000, 92.144387
1006.000000, 92.091696
1002.000000, 91.852850
998.000000, 92.075883
994.000000, 92.036544
990.000000, 92.175975
986.000000, 92.632715
982.000000, 92.350270
978.000000, 91.798001
974.000000, 92.186791
970.000000, 92.466227
966.000000, 92.532424
962.000000, 92.067095
958.000000, 92.698413
954.000000, 92.032053
950.000000, 91.951841
