nm, %R
1650.000000, 93.467629
1646.000000, 94.629296
1642.000000, 95.266248
1638.000000, 95.712653
1634.000000, 95.939159
1630.000000, 95.970544
1626.000000, 96.284384
1622.000000, 96.267713
1618.000000, 96.319438
1614.000000, 96.450882
1610.000000, 96.503892
1606.000000, 96.748380
1602.000000, 97.120225
1598.000000, 97.412697
1594.000000, 97.532926
1590.000000, 97.752268
1586.000000, 97.648077
1582.000000, 97.769158
1578.000000, 97.818825
1574.000000, 97.830004
1570.000000, 97.822749
1566.000000, 97.831142
1562.000000, 97.818885
1558.000000, 97.750241
1554.000000, 97.816190
1550.000000, 97.714538
1546.000000, 97.732100
1542.000000, 97.717864
1538.000000, 97.758125
1534.000000, 97.743127
1530.000000, 97.761791
1526.000000, 97.785069
1522.000000, 97.663053
1518.000000, 97.723393
1514.000000, 97.670367
1510.000000, 97.680548
1506.000000, 97.575947
1502.000000, 97.520813
1498.000000, 97.348487
1494.000000, 97.146916
1490.000000, 96.915586
1486.000000, 96.833780
1482.000000, 96.642789
1478.000000, 96.397422
1474.000000, 96.127946
1470.000000, 95.849362
1466.000000, 95.636095
1462.000000, 95.287891
1458.000000, 95.141284
1454.000000, 94.910073
1450.000000, 94.670785
1446.000000, 94.447446
1442.000000, 94.253809
1438.000000, 94.215203
1434.000000, 94.209949
1430.000000, 94.306823
1426.000000, 94.181744
1422.000000, 94.102563
1418.000000, 93.932425
1414.000000, 93.865840
1410.000000, 93.787469
1406.000000, 93.662355
1402.000000, 93.849015
1398.000000, 93.831959
1394.000000, 93.856243
1390.000000, 93.723723
1386.000000, 93.626496
1382.000000, 93.312116
1378.000000, 93.192356
1374.000000, 93.302720
1370.000000, 93.543839
1366.000000, 93.831926
1362.000000, 94.390556
1358.000000, 94.988120
1354.000000, 95.371856
1350.000000, 95.681428
1346.000000, 96.087272
1342.000000, 96.784893
1338.000000, 97.559189
1334.000000, 98.192137
1330.000000, 98.590009
1326.000000, 98.744868
1322.000000, 98.798693
1318.000000, 98.860415
1314.000000, 98.834066
1310.000000, 98.907352
1306.000000, 98.876360
1302.000000, 98.892029
1298.000000, 98.912658
1294.000000, 98.834765
1290.000000, 98.838427
1286.000000, 98.809718
1282.000000, 98.849720
1278.000000, 98.793291
1274.000000, 98.823491
1270.000000, 98.792233
1266.000000, 98.831590
1262.000000, 98.777416
1258.000000, 98.718656
1254.000000, 98.645642
1250.000000, 98.578789
1246.000000, 98.520604
1242.000000, 98.511837
1238.000000, 98.443062
1234.000000, 98.381539
1230.000000, 98.293090
1226.000000, 98.149094
1222.000000, 97.963351
1218.000000, 97.740462
1214.000000, 97.635039
1210.000000, 97.415679
1206.000000, 97.134003
1202.000000, 96.839667
1198.000000, 96.538624
1194.000000, 96.197411
1190.000000, 95.790152
1186.000000, 95.274500
1182.000000, 94.543000
1178.000000, 93.828059
1174.000000, 93.429852
1170.000000, 93.442134
1166.000000, 93.791241
1162.000000, 94.297608
1158.000000, 94.902798
1154.000000, 95.561850
1150.000000, 96.286318
1146.000000, 96.861321
1142.000000, 97.212772
1138.000000, 97.415357
1134.000000, 97.548838
1130.000000, 97.839580
1126.000000, 98.185073
1122.000000, 98.509645
1118.000000, 98.713751
1114.000000, 98.839546
1110.000000, 99.020219
1106.000000, 99.110547
1102.000000, 99.155384
1098.000000, 99.245577
1094.000000, 99.235894
1090.000000, 99.240305
1086.000000, 99.241348
1082.000000, 99.229266
1078.000000, 99.234693
1074.000000, 99.264414
1070.000000, 99.261053
1066.000000, 99.233312
1062.000000, 99.151384
1058.000000, 99.082576
1054.000000, 99.081335
1050.000000, 99.097842
1046.000000, 99.078471
1042.000000, 98.982869
1038.000000, 99.071188
1034.000000, 99.030189
1030.000000, 99.030966
1026.000000, 99.069424
1022.000000, 99.017460
1018.000000, 99.040633
1014.000000, 99.001924
1010.000000, 98.925589
1006.000000, 98.965984
1002.000000, 99.081798
998.000000, 99.007956
994.000000, 99.011498
990.000000, 99.162788
986.000000, 99.127163
982.000000, 99.069318
978.000000, 99.034048
974.000000, 99.016838
970.000000, 99.234806
966.000000, 99.241006
962.000000, 99.057390
958.000000, 99.232122
954.000000, 99.243077
950.000000, 99.209710
