nm, %R
1650.000000, 55.186694
1646.000000, 62.310350
1642.000000, 69.488285
1638.000000, 75.997390
1634.000000, 81.204826
1630.000000, 84.863467
1626.000000, 87.023010
1622.000000, 88.389672
1618.000000, 89.217943
1614.000000, 89.953435
1610.000000, 90.699433
1606.000000, 91.489576
1602.000000, 92.311859
1598.000000, 92.841491
1594.000000, 93.160598
1590.000000, 93.358427
1586.000000, 93.485763
1582.000000, 93.550907
1578.000000, 93.652415
1574.000000, 93.737260
1570.000000, 93.848447
1566.000000, 93.833342
1562.000000, 93.916145
1558.000000, 93.924281
1554.000000, 93.968635
1550.000000, 93.953875
1546.000000, 94.031369
1542.000000, 94.040447
1538.000000, 93.994021
1534.000000, 93.942748
1530.000000, 93.928942
1526.000000, 93.938713
1522.000000, 93.917511
1518.000000, 93.863143
1514.000000, 93.798700
1510.000000, 93.769846
1506.000000, 93.664233
1502.000000, 93.556057
1498.000000, 93.445425
1494.000000, 93.370555
1490.000000, 93.244604
1486.000000, 93.142041
1482.000000, 92.966076
1478.000000, 92.736562
1474.000000, 92.472497
1470.000000, 92.183102
1466.000000, 91.900875
1462.000000, 91.670748
1458.000000, 91.481705
1454.000000, 91.319958
1450.000000, 91.073369
1446.000000, 90.797738
1442.000000, 90.523705
1438.000000, 90.185439
1434.000000, 89.856357
1430.000000, 89.480449
1426.000000, 89.206989
1422.000000, 88.936418
1418.000000, 88.753911
1414.000000, 88.677060
1410.000000, 88.715890
1406.000000, 88.950083
1402.000000, 89.239153
1398.000000, 89.542801
1394.000000, 89.909844
1390.000000, 90.252097
1386.000000, 90.469446
1382.000000, 90.482711
1378.000000, 90.455469
1374.000000, 90.661937
1370.000000, 91.017105
1366.000000, 91.234855
1362.000000, 91.322261
1358.000000, 91.426062
1354.000000, 91.746815
1350.000000, 92.291026
1346.000000, 92.904462
1342.000000, 93.501056
1338.000000, 94.037158
1334.000000, 94.416345
1330.000000, 94.621787
1326.000000, 94.739250
1322.000000, 94.788231
1318.000000, 94.909313
1314.000000, 94.975802
1310.000000, 95.019808
1306.000000, 95.063260
1302.000000, 95.138070
1298.000000, 95.171204
1294.000000, 95.149735
1290.000000, 95.202514
1286.000000, 95.253677
1282.000000, 95.277144
1278.000000, 95.283136
1274.000000, 95.259166
1270.000000, 95.284376
1266.000000, 95.298522
1262.000000, 95.278571
1258.000000, 95.203288
1254.000000, 95.181746
1250.000000, 95.171998
1246.000000, 95.148967
1242.000000, 95.099758
1238.000000, 95.031378
1234.000000, 94.965075
1230.000000, 94.839728
1226.000000, 94.655553
1222.000000, 94.487090
1218.000000, 94.321904
1214.000000, 94.189414
1210.000000, 94.051658
1206.000000, 93.892813
1202.000000, 93.731686
1198.000000, 93.508705
1194.000000, 93.173160
1190.000000, 92.798433
1186.000000, 92.463295
1182.000000, 92.195562
1178.000000, 92.051808
1174.000000, 91.967857
1170.000000, 91.996883
1166.000000, 92.138084
1162.000000, 92.368782
1158.000000, 92.617257
1154.000000, 92.840163
1150.000000, 93.038481
1146.000000, 93.159180
1142.000000, 93.031764
1138.000000, 92.572308
1134.000000, 91.909529
1130.000000, 91.329950
1126.000000, 91.204737
1122.000000, 91.682722
1118.000000, 92.564425
1114.000000, 93.527962
1110.000000, 94.314115
1106.000000, 94.811585
1102.000000, 95.119137
1098.000000, 95.307918
1094.000000, 95.418071
1090.000000, 95.478959
1086.000000, 95.488703
1082.000000, 95.492268
1078.000000, 95.510062
1074.000000, 95.533641
1070.000000, 95.529746
1066.000000, 95.500053
1062.000000, 95.486787
1058.000000, 95.479199
1054.000000, 95.485818
1050.000000, 95.469346
1046.000000, 95.462027
1042.000000, 95.435800
1038.000000, 95.392810
1034.000000, 95.362068
1030.000000, 95.335111
1026.000000, 95.322597
1022.000000, 95.368951
1018.000000, 95.401816
1014.000000, 95.349972
1010.000000, 95.327786
1006.000000, 95.388129
1002.000000, 95.448663
998.000000, 95.449721
994.000000, 95.458490
990.000000, 95.455109
986.000000, 95.502594
982.000000, 95.514991
978.000000, 95.553369
974.000000, 95.564365
970.000000, 95.563998
966.000000, 95.610780
962.000000, 95.641890
958.000000, 95.729794
954.000000, 95.744157
950.000000, 95.721165
