nm, %R
1650.000000, 59.150836
1646.000000, 66.105642
1642.000000, 72.834589
1638.000000, 78.662741
1634.000000, 83.226529
1630.000000, 86.426219
1626.000000, 88.513198
1622.000000, 89.888078
1618.000000, 90.892960
1614.000000, 91.668406
1610.000000, 92.437717
1606.000000, 93.259270
1602.000000, 93.903322
1598.000000, 94.463243
1594.000000, 94.747391
1590.000000, 95.088781
1586.000000, 95.231951
1582.000000, 95.292614
1578.000000, 95.455787
1574.000000, 95.560728
1570.000000, 95.588973
1566.000000, 95.565918
1562.000000, 95.652677
1558.000000, 95.657739
1554.000000, 95.600098
1550.000000, 95.566011
1546.000000, 95.632292
1542.000000, 95.596518
1538.000000, 95.545421
1534.000000, 95.484393
1530.000000, 95.470049
1526.000000, 95.475596
1522.000000, 95.405675
1518.000000, 95.284150
1514.000000, 95.199340
1510.000000, 95.128469
1506.000000, 94.950888
1502.000000, 94.707313
1498.000000, 94.541991
1494.000000, 94.365435
1490.000000, 94.183085
1486.000000, 94.033007
1482.000000, 93.741977
1478.000000, 93.471136
1474.000000, 93.117482
1470.000000, 92.761434
1466.000000, 92.433428
1462.000000, 92.224674
1458.000000, 91.955886
1454.000000, 91.621708
1450.000000, 91.241180
1446.000000, 90.923999
1442.000000, 90.593347
1438.000000, 90.148095
1434.000000, 89.736034
1430.000000, 89.354363
1426.000000, 89.001010
1422.000000, 88.717926
1418.000000, 88.601012
1414.000000, 88.696159
1410.000000, 88.926996
1406.000000, 89.181474
1402.000000, 89.601020
1398.000000, 90.083805
1394.000000, 90.487958
1390.000000, 90.748291
1386.000000, 90.931881
1382.000000, 91.135366
1378.000000, 91.297945
1374.000000, 91.519402
1370.000000, 91.807759
1366.000000, 92.157641
1362.000000, 92.535223
1358.000000, 93.064940
1354.000000, 93.659184
1350.000000, 94.348470
1346.000000, 94.930285
1342.000000, 95.430183
1338.000000, 95.867327
1334.000000, 96.202504
1330.000000, 96.433756
1326.000000, 96.591793
1322.000000, 96.674910
1318.000000, 96.767217
1314.000000, 96.825574
1310.000000, 96.910377
1306.000000, 97.014413
1302.000000, 97.143348
1298.000000, 97.142521
1294.000000, 97.148174
1290.000000, 97.212397
1286.000000, 97.212671
1282.000000, 97.194544
1278.000000, 97.115795
1274.000000, 97.103905
1270.000000, 97.060618
1266.000000, 97.054845
1262.000000, 97.004592
1258.000000, 96.971345
1254.000000, 96.886643
1250.000000, 96.875020
1246.000000, 96.815513
1242.000000, 96.726341
1238.000000, 96.618190
1234.000000, 96.444754
1230.000000, 96.281360
1226.000000, 96.084990
1222.000000, 95.841290
1218.000000, 95.682060
1214.000000, 95.518911
1210.000000, 95.242802
1206.000000, 94.946835
1202.000000, 94.569620
1198.000000, 94.180651
1194.000000, 93.786224
1190.000000, 93.417064
1186.000000, 93.117165
1182.000000, 92.890626
1178.000000, 92.765609
1174.000000, 92.815650
1170.000000, 93.037153
1166.000000, 93.268743
1162.000000, 93.457624
1158.000000, 93.784524
1154.000000, 94.086352
1150.000000, 94.143500
1146.000000, 93.938718
1142.000000, 93.578002
1138.000000, 93.112017
1134.000000, 92.728520
1130.000000, 92.566066
1126.000000, 92.787817
1122.000000, 93.482296
1118.000000, 94.472945
1114.000000, 95.426434
1110.000000, 96.120644
1106.000000, 96.582605
1102.000000, 96.865966
1098.000000, 97.029857
1094.000000, 97.135084
1090.000000, 97.194572
1086.000000, 97.193247
1082.000000, 97.171032
1078.000000, 97.197384
1074.000000, 97.184147
1070.000000, 97.089301
1066.000000, 97.094210
1062.000000, 97.111378
1058.000000, 97.076368
1054.000000, 96.974883
1050.000000, 96.905244
1046.000000, 96.913515
1042.000000, 96.849534
1038.000000, 96.778852
1034.000000, 96.679278
1030.000000, 96.627969
1026.000000, 96.680146
1022.000000, 96.702788
1018.000000, 96.658347
1014.000000, 96.610844
1010.000000, 96.559702
1006.000000, 96.657602
1002.000000, 96.697827
998.000000, 96.677486
994.000000, 96.681846
990.000000, 96.701152
986.000000, 96.710000
982.000000, 96.620334
978.000000, 96.613308
974.000000, 96.715844
970.000000, 96.763779
966.000000, 96.698695
962.000000, 96.736959
958.000000, 96.802196
954.000000, 96.868216
950.000000, 96.784436
