nm, %R
1650.000000, 69.830819
1646.000000, 74.140138
1642.000000, 78.753002
1638.000000, 83.043527
1634.000000, 86.659443
1630.000000, 89.421352
1626.000000, 91.420227
1622.000000, 92.699976
1618.000000, 93.517359
1614.000000, 94.112462
1610.000000, 94.647400
1606.000000, 95.126962
1602.000000, 95.569219
1598.000000, 95.998352
1594.000000, 96.267047
1590.000000, 96.423364
1586.000000, 96.519359
1582.000000, 96.625144
1578.000000, 96.669139
1574.000000, 96.727307
1570.000000, 96.780323
1566.000000, 96.787711
1562.000000, 96.785004
1558.000000, 96.795619
1554.000000, 96.805420
1550.000000, 96.798436
1546.000000, 96.758098
1542.000000, 96.774925
1538.000000, 96.763115
1534.000000, 96.803551
1530.000000, 96.792351
1526.000000, 96.816929
1522.000000, 96.855225
1518.000000, 96.818961
1514.000000, 96.795239
1510.000000, 96.718499
1506.000000, 96.612546
1502.000000, 96.484402
1498.000000, 96.395736
1494.000000, 96.279198
1490.000000, 96.173025
1486.000000, 96.040027
1482.000000, 95.870018
1478.000000, 95.672157
1474.000000, 95.461708
1470.000000, 95.212065
1466.000000, 94.961602
1462.000000, 94.751170
1458.000000, 94.516706
1454.000000, 94.321768
1450.000000, 94.143288
1446.000000, 93.958432
1442.000000, 93.759359
1438.000000, 93.519236
1434.000000, 93.277641
1430.000000, 93.040045
1426.000000, 92.839354
1422.000000, 92.659901
1418.000000, 92.555525
1414.000000, 92.528786
1410.000000, 92.613154
1406.000000, 92.752146
1402.000000, 92.946008
1398.000000, 93.214814
1394.000000, 93.487855
1390.000000, 93.682906
1386.000000, 93.885674
1382.000000, 94.082267
1378.000000, 94.195744
1374.000000, 94.346906
1370.000000, 94.509288
1366.000000, 94.655201
1362.000000, 94.896226
1358.000000, 95.209100
1354.000000, 95.525466
1350.000000, 95.919311
1346.000000, 96.345197
1342.000000, 96.771260
1338.000000, 97.113668
1334.000000, 97.336974
1330.000000, 97.518204
1326.000000, 97.630694
1322.000000, 97.748340
1318.000000, 97.815684
1314.000000, 97.874089
1310.000000, 97.964082
1306.000000, 98.043447
1302.000000, 98.066783
1298.000000, 98.076270
1294.000000, 98.103196
1290.000000, 98.093456
1286.000000, 98.094716
1282.000000, 98.111966
1278.000000, 98.112539
1274.000000, 98.105568
1270.000000, 98.110992
1266.000000, 98.127277
1262.000000, 98.106726
1258.000000, 98.067164
1254.000000, 97.997399
1250.000000, 97.934343
1246.000000, 97.889004
1242.000000, 97.855659
1238.000000, 97.803187
1234.000000, 97.730855
1230.000000, 97.608534
1226.000000, 97.510877
1222.000000, 97.375962
1218.000000, 97.251415
1214.000000, 97.121586
1210.000000, 96.947292
1206.000000, 96.755388
1202.000000, 96.538147
1198.000000, 96.276303
1194.000000, 95.995643
1190.000000, 95.732222
1186.000000, 95.515488
1182.000000, 95.329539
1178.000000, 95.183261
1174.000000, 95.194402
1170.000000, 95.299781
1166.000000, 95.488537
1162.000000, 95.732758
1158.000000, 95.960154
1154.000000, 96.151169
1150.000000, 96.318822
1146.000000, 96.411109
1142.000000, 96.357865
1138.000000, 96.213574
1134.000000, 96.029510
1130.000000, 95.885950
1126.000000, 95.915713
1122.000000, 96.144953
1118.000000, 96.523996
1114.000000, 96.993780
1110.000000, 97.432799
1106.000000, 97.810484
1102.000000, 98.089597
1098.000000, 98.280395
1094.000000, 98.390041
1090.000000, 98.464369
1086.000000, 98.508481
1082.000000, 98.483736
1078.000000, 98.495494
1074.000000, 98.506942
1070.000000, 98.488853
1066.000000, 98.489615
1062.000000, 98.474871
1058.000000, 98.472965
1054.000000, 98.451969
1050.000000, 98.417399
1046.000000, 98.428224
1042.000000, 98.445669
1038.000000, 98.461844
1034.000000, 98.438444
1030.000000, 98.424530
1026.000000, 98.433201
1022.000000, 98.429273
1018.000000, 98.422930
1014.000000, 98.406821
1010.000000, 98.418251
1006.000000, 98.457630
1002.000000, 98.464924
998.000000, 98.450939
994.000000, 98.494515
990.000000, 98.484440
986.000000, 98.484319
982.000000, 98.544068
978.000000, 98.545774
974.000000, 98.565527
970.000000, 98.645976
966.000000, 98.684333
962.000000, 98.622054
958.000000, 98.605646
954.000000, 98.679498
950.000000, 98.762568
