nm, %R
1650.000000, 59.789352
1646.000000, 64.481987
1642.000000, 69.494536
1638.000000, 74.304728
1634.000000, 78.414045
1630.000000, 81.473800
1626.000000, 83.424629
1622.000000, 84.538913
1618.000000, 85.276199
1614.000000, 85.859333
1610.000000, 86.602276
1606.000000, 87.376184
1602.000000, 88.124478
1598.000000, 88.607184
1594.000000, 88.915856
1590.000000, 89.083221
1586.000000, 89.203479
1582.000000, 89.283342
1578.000000, 89.394918
1574.000000, 89.466705
1570.000000, 89.590952
1566.000000, 89.631431
1562.000000, 89.697227
1558.000000, 89.706418
1554.000000, 89.741608
1550.000000, 89.738939
1546.000000, 89.757444
1542.000000, 89.809337
1538.000000, 89.793770
1534.000000, 89.817652
1530.000000, 89.785548
1526.000000, 89.755038
1522.000000, 89.718889
1518.000000, 89.718093
1514.000000, 89.627240
1510.000000, 89.559125
1506.000000, 89.428964
1502.000000, 89.381046
1498.000000, 89.266195
1494.000000, 89.154503
1490.000000, 89.040883
1486.000000, 88.968010
1482.000000, 88.791415
1478.000000, 88.569550
1474.000000, 88.295954
1470.000000, 88.048302
1466.000000, 87.753999
1462.000000, 87.540366
1458.000000, 87.392127
1454.000000, 87.186662
1450.000000, 86.970105
1446.000000, 86.793803
1442.000000, 86.557263
1438.000000, 86.246059
1434.000000, 85.966650
1430.000000, 85.653544
1426.000000, 85.368052
1422.000000, 85.111775
1418.000000, 84.934279
1414.000000, 84.912449
1410.000000, 84.948014
1406.000000, 85.106989
1402.000000, 85.358886
1398.000000, 85.674231
1394.000000, 86.025887
1390.000000, 86.338665
1386.000000, 86.553301
1382.000000, 86.617646
1378.000000, 86.544903
1374.000000, 86.630841
1370.000000, 87.012408
1366.000000, 87.252387
1362.000000, 87.352953
1358.000000, 87.430914
1354.000000, 87.746656
1350.000000, 88.283508
1346.000000, 88.940432
1342.000000, 89.553917
1338.000000, 90.142363
1334.000000, 90.490287
1330.000000, 90.655937
1326.000000, 90.807065
1322.000000, 90.925588
1318.000000, 91.041160
1314.000000, 91.119770
1310.000000, 91.131843
1306.000000, 91.180138
1302.000000, 91.264673
1298.000000, 91.313708
1294.000000, 91.333280
1290.000000, 91.354786
1286.000000, 91.377400
1282.000000, 91.410278
1278.000000, 91.475351
1274.000000, 91.502706
1270.000000, 91.487574
1266.000000, 91.462511
1262.000000, 91.452540
1258.000000, 91.448893
1254.000000, 91.423706
1250.000000, 91.378978
1246.000000, 91.356680
1242.000000, 91.349638
1238.000000, 91.311512
1234.000000, 91.214648
1230.000000, 91.095703
1226.000000, 90.952466
1222.000000, 90.790059
1218.000000, 90.657274
1214.000000, 90.535677
1210.000000, 90.385889
1206.000000, 90.232795
1202.000000, 90.037429
1198.000000, 89.809046
1194.000000, 89.499166
1190.000000, 89.056290
1186.000000, 88.609888
1182.000000, 88.291907
1178.000000, 88.082328
1174.000000, 87.978653
1170.000000, 88.067510
1166.000000, 88.266369
1162.000000, 88.512911
1158.000000, 88.803018
1154.000000, 89.111183
1150.000000, 89.359693
1146.000000, 89.431584
1142.000000, 89.246486
1138.000000, 88.803120
1134.000000, 88.147219
1130.000000, 87.573352
1126.000000, 87.461763
1122.000000, 87.964178
1118.000000, 88.888002
1114.000000, 89.869561
1110.000000, 90.665579
1106.000000, 91.209200
1102.000000, 91.533589
1098.000000, 91.739470
1094.000000, 91.899189
1090.000000, 91.973420
1086.000000, 91.986030
1082.000000, 91.981638
1078.000000, 91.985409
1074.000000, 92.049380
1070.000000, 92.085766
1066.000000, 92.074322
1062.000000, 92.077111
1058.000000, 92.096832
1054.000000, 92.068138
1050.000000, 92.049076
1046.000000, 92.064178
1042.000000, 92.044701
1038.000000, 92.005975
1034.000000, 91.963387
1030.000000, 91.951235
1026.000000, 91.960285
1022.000000, 91.988444
1018.000000, 91.995971
1014.000000, 91.986825
1010.000000, 92.006227
1006.000000, 92.036016
1002.000000, 92.005522
998.000000, 92.026727
994.000000, 92.115383
990.000000, 92.159538
986.000000, 92.172151
982.000000, 92.194580
978.000000, 92.240704
974.000000, 92.263283
970.000000, 92.303007
966.000000, 92.361735
962.000000, 92.396328
958.000000, 92.446539
954.000000, 92.487743
950.000000, 92.521618
